CountyName	DwellingTypeDescr	Year_of_Construction	TypeofRating	EnergyRating	BerRating	GroundFloorArea(sq m)	UValueWall	UValueRoof	UValueFloor	UValueWindow	UvalueDoor	WallArea	RoofArea	FloorArea	WindowArea	DoorArea	NoStoreys	CO2Rating	MainSpaceHeatingFuel	MainWaterHeatingFuel	HSMainSystemEfficiency	MultiDwellingMPRN	TGDLEdition	MPCDERValue	HSEffAdjFactor	HSSupplHeatFraction	HSSupplSystemEff	WHMainSystemEff	WHEffAdjFactor	SupplSHFuel	SupplWHFuel	SHRenewableResources	WHRenewableResources	NoOfChimneys	NoOfOpenFlues	NoOfFansAndVents	NoOfFluelessGasFires	DraftLobby	VentilationMethod	FanPowerManuDeclaredValue	HeatExchangerEff	StructureType	SuspendedWoodenFloor	PercentageDraughtStripped	NoOfSidesSheltered	PermeabilityTest	PermeabilityTestResult	TempAdjustment	HeatSystemControlCat	HeatSystemResponseCat	NoCentralHeatingPumps	CHBoilerThermostatControlled	NoOilBoilerHeatingPumps	OBBoilerThermostatControlled	OBPumpInsideDwelling	NoGasBoilerHeatingPumps	WarmAirHeatingSystem	UndergroundHeating	GroundFloorUValue	DistributionLosses	StorageLosses	ManuLossFactorAvail	SolarHotWaterHeating	ElecImmersionInSummer	CombiBoiler	KeepHotFacility	WaterStorageVolume	DeclaredLossFactor	TempFactorUnadj	TempFactorMultiplier	InsulationType	InsulationThickness	PrimaryCircuitLoss	CombiBoilerAddLoss	ElecConsumpKeepHot	ApertureArea	ZeroLossCollectorEff	CollectorHeatLossCoEff	AnnualSolarRadiation	OvershadingFactor	CylinderStat	SolarStorageVolume	VolumeOfPreHeatStore	CombinedCylinder	ElectricityConsumption	SWHPumpSolarPowered	ChargingBasisHeatConsumed	gsdHSSupplHeatFraction	gsdHSSupplSystemEff	DistLossFactor	CHPUnitHeatFraction	CHPSystemType	CHPElecEff	CHPHeatEff	CHPFuelType	SupplHSFuelTypeID	gsdSHRenewableResources	gsdWHRenewableResources	SolarHeatFraction	DeliveredLightingEnergy	DeliveredEnergyPumpsFans	DeliveredEnergyMainWater	DeliveredEnergyMainSpace	PrimaryEnergyLighting	PrimaryEnergyPumpsFans	PrimaryEnergyMainWater	PrimaryEnergyMainSpace	CO2Lighting	CO2PumpsFans	CO2MainWater	CO2MainSpace	GroundFloorArea	GroundFloorHeight	FirstFloorArea	FirstFloorHeight	SecondFloorArea	SecondFloorHeight	ThirdFloorArea	ThirdFloorHeight	ThermalBridgingFactor	ThermalMassCategory	PredominantRoofTypeArea	PredominantRoofType	LowEnergyLightingPercent	TotalDeliveredEnergy	DeliveredEnergySecondarySpace	DeliveredEnergySupplementaryWater	LivingAreaPercent	CO2SecondarySpace	CO2SupplementaryWater	PrimaryEnergySecondarySpace	PrimaryEnergySupplementaryWater	HESSchemeUpgrade	RoomInRoofArea	PurposeOfRating	DateOfAssessment	FirstEnergyTypeId	FirstEnergyType_Description	FirstEnerProdComment	FirstEnerProdDelivered	FirstPartLTotalContribution	FirstEnerProdConvFactor	FirstEnerProdCO2EmissionFactor	FirstEnerConsumedComment	FirstEnerConsumedDelivered	FirstEnerConsumedConvFactor	FirstEnerConsumedCO2EmissionFactor	SecondEnergyTypeId	SecondEnergyType_Description	SecondEnerProdComment	SecondEnerProdDelivered	SecondPartLTotalContribution	SecondEnerProdConvFactor	SecondEnerProdCO2EmissionFactor	SecondEnerConsumedComment	SecondEnerConsumedDelivered	SecondEnerConsumedConvFactor	SecondEnerConsumedCO2EmissionFactor	ThirdEnergyTypeId	ThirdEnergyType_Description	ThirdEnerProdComment	ThirdEnerProdDelivered	ThirdPartLTotalContribution	ThirdEnerProdConvFactor	ThirdEnerProdCO2EmissionFactor	ThirdEnerConsumedComment	ThirdEnerConsumedDelivered	ThirdEnerConsumedConvFactor	ThirdEnerConsumedCO2EmissionFactor	FirstBoilerFuelType	FirstHeatGenPlantEff	FirstPercentageHeat	SecondBoilerFuelType	SecondHeatGenPlantEff	SecondPercentageHeat	ThirdBoilerFuelType	ThirdHeatGenPlantEff	ThirdPercentageHeat	SolarSpaceHeatingSystem	TotalPrimaryEnergyFact	TotalCO2Emissions	FirstWallType_Description	FirstWallDescription	FirstWallArea	FirstWallUValue	FirstWallIsSemiExposed	FirstWallAgeBandId	FirstWallTypeId	SecondWallType_Description	SecondWallDescription	SecondWallArea	SecondWallUValue	SecondWallIsSemiExposed	SecondWallAgeBandId	SecondWallTypeId	ThirdWallType_Description	ThirdWallDescription	ThirdWallArea	ThirdWallUValue	ThirdWallIsSemiExposed	ThirdWallAgeBandId	ThirdWallTypeId	SA_Code	prob_smarea_error_0corr	prob_smarea_error_100corr	RER	RenewEPnren	RenewEPren	CPC	EPC
Co. Cork	End of terrace house	1900	Existing       	E1	324.15	271.09	2.1	2.3	0.61	3.1	3.0	94.76	136.01	136.01	29.86	2.88	3	81.79	Heating Oil                   	Heating Oil                   	70.0	NO	0	39.51	0.95	0.1	60.0	70.0	0.95	15	1	2	2	1	1	0	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	1	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	612.801	YES	NO 	NO 	NO 	None                          	None                          	110	0.0	0.6	1.3	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													2190.0	299.0	15414.027	52518.518	5299.8	723.58	16955.43	57770.37	1147.56	156.676	4192.615	14285.037	136.01	2.9	67.54	2.8	67.54	2.8	0.0	0.0	0.15	Medium              	136.01	Pitch Roof-Insul.on Ceiling   	40.0		6476.609		9.44336	2389.869		7124.27	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Stone		94.76	2.1	No	2	1																						
Dublin 14	Mid-floor apartment	2005	Existing       	B3	146.47	74.02	0.35	0.0	0.0	2.2	3.0	43.36	0.0	0.0	14.83	1.84	1	29.23	Mains Gas                     	Mains Gas                     	78.1	NO	0	30.13	0.95	0.2	100.0	78.1	0.95	28	28	2	2	0	0	3	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	3	NO	0.0	0.0	2	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	275.952	YES	NO 	NO 	YES	None                          	None                          	110	0.0	0.6	1.3	Factory Insulated             	35	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													665.384	214.0	3077.673	2158.527	1610.23	517.88	3385.44	2374.38	348.661	112.136	624.768	438.181	74.02	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			0.0	7535.761	477.312	942.865	40.7052	195.221	385.632	992.81	1961.16	0	0.0	Private Letting	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Stone		26.71	0.37	No	10	1	Stone		16.65	0.322	Yes	10.0	1.0								267079001	0.0025	0.0025					
Co. Meath	Mid-terrace house	1955	Existing       	F 	392.68	98.21	0.51	2.08	0.54	2.74	3.0	71.29	80.73	45.29	8.12	3.78	3	99.11	Heating Oil                   	Heating Oil                   	79.0	NO	0	55.74	0.95	0.1	30.0	79.0	0.95	15	28	2	2	1	0	0	0	NO	Natural vent.	0	0	Masonry                       	Yes (Unsealed)                	64	3	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	329.865	YES	NO 	NO 	YES	None                          	None                          	95	0.0	0.6	1.3	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													941.417	299.0	6620.964	16487.809	2278.23	723.58	7283.06	18136.59	493.303	156.676	1800.902	4484.684	45.29	2.42	36.6	2.6	0.0	0.0	0.0	0.0	0.15	Medium              	52.603	Room in Roof-Insul.on side    	21.0	31393.387	4600.336	2443.861	22.513	1697.524	999.539	5060.37	5083.23	0	16.32	Other	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	front	24.82	0.6	No	4	5		bathroom	15.2	0.37	No	10.0	10.0	300mm Filled Cavity	rear upper	13.28	0.6	No	4.0	5.0	167038022	5.5623e-07	0.0025					
Co. Roscommon	Detached house	1999	Existing       	E2	378.77	34.79	0.28	0.13	0.51	1.7	3.0	61.82	34.79	34.79	6.13	1.85	1	112.56	Manufactured Smokeless Fuel   	Manufactured Smokeless Fuel   	65.0	NO	0	105.81	1.0	0.1	100.0	65.0	1.0	28	28	2	2	0	1	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.3	2	3	1	NO 	0	NO 	NO 	0	NO 	NO 	0	181.169	YES	NO 	NO 	YES	None                          	None                          	95	0.75	0.6	1.0	Factory Insulated             	30	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													302.434	169.0	2137.35	5902.008	731.89	408.98	2564.82	7082.41	158.475	88.556	837.841	2313.587	34.79	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	34.79	Pitch Roof-Insul.on Ceiling   	10.0	9659.566	502.091	646.683	49.382	205.355	264.493	1044.35	1345.1	0	0.0	Grant Support	Oct 25 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	330mm Front Gable Cavity Pumpe	18.45	0.28	No	8	5	300mm Filled Cavity	330mm End  Gable Cavity Pumped	18.05	0.28	No	8.0	5.0	300mm Filled Cavity	330mm side back house Cavity P	13.02	0.28	No	8.0	5.0								
Dublin 7	End of terrace house	2006	Existing       	C2	196.99	121.94	0.37	0.25	0.37	2.0	3.0	118.07	91.65	50.45	13.9	2.49	2	39.75	Mains Gas                     	Mains Gas                     	78.5	NO	0	35.77	0.95	0.4	100.0	78.5	0.95	28	28	2	2	0	1	2	0	NO	Natural vent.	0	0	Masonry                       	No                            	90	2	NO	0.0	0.0	2	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	379.291	YES	NO 	NO 	YES	None                          	None                          	279	0.0	0.6	1.3	Factory Insulated             	38	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1081.62	175.0	4272.409	5792.218	2617.52	423.5	4699.65	6371.44	566.769	91.7	867.299	1175.82	50.45	2.4	50.45	2.64	0.0	0.0	0.0	0.0	0.15	Medium-high         	62.237	Room in Roof-Insul.on side    	23.0	16085.002	3376.409	1387.346	22.8145	1380.951	567.425	7022.93	2885.68	0	21.04	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		112.68	0.37	No	10	4	300mm Cavity	Room in Roof	5.39	0.339	Yes	10.0	4.0								268036007/01	4.4491284e-05	0.0025					
Co. Cork	Ground-floor apartment	1978	Existing       	C2	186.86	49.77	0.3	0.0	0.57	1.9	3.0	39.12	0.0	49.77	7.4	3.7	1	47.39	Heating Oil                   	Heating Oil                   	94.8	NO	0	47.87	1.0	0.1	30.0	94.8	1.0	15	1	2	2	1	0	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	3	1	1	YES	1	YES	YES	0	NO 	NO 	0	218.468	YES	NO 	NO 	NO 	None                          	None                          	100	0.0	0.6	0.9	Factory Insulated             	20	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													470.587	230.0	2599.927	3166.564	1138.82	556.6	2859.92	3483.22	246.588	120.52	707.18	861.305	49.77	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			0.0		1146.991		44.2033	423.24		1261.69	0.0	0	0.0	Grant Support	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		39.12	0.3	No	6	4															47268002	0.001049684724	0.017443147236					
Co. Louth	Semi-detached house	1979	Existing       	D1	259.9	86.66	0.36	0.13	0.55	3.17	3.0	74.21	43.38	43.33	22.64	1.85	2	65.12	Heating Oil                   	Heating Oil                   	79.0	NO	0	52.82	0.95	0.1	30.0	79.0	0.95	8	28	2	2	1	0	1	0	NO	Natural vent.	0	0	Masonry                       	Yes (Unsealed)                	89	2	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	304.528	YES	NO 	NO 	YES	None                          	None                          	130	0.0	0.6	1.3	Loose Jacket                  	20	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													429.405	299.0	4596.855	8632.082	1039.16	723.58	5056.54	9495.29	225.008	156.676	1250.345	2347.926	43.33	2.46	43.33	2.73	0.0	0.0	0.0	0.0	0.15	Medium              	43.383	Pitch Roof-Insul.on Ceiling   	89.0	17964.272	2415.767	1591.163	18.7284	946.981	650.786	2898.92	3309.62	1	0.0	Grant Support	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Main House	74.213	0.36	No	6	5															147019013	5.5623e-07	0.0025					
Dublin 15	Detached house	1979	Existing       	C1	163.75	293.25	0.62	0.26	0.46	2.2	3.0	250.11	163.53	168.3	60.88	3.82	2	35.35	Mains Gas                     	Mains Gas                     	78.0	NO	0	28.04	1.0	0.1	30.0	78.0	1.0	8	1	2	2	1	1	11	0	NO	Natural vent.	0	0	Masonry                       	Yes (Sealed)                  	100	2	NO	0.0	0.0	3	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	636.144	YES	NO 	YES	NO 	None                          	None                          	300	0.0	0.6	0.9	Factory Insulated             	50	Boiler with uninsulated primar	0	0	11.94	0.6	3.0	1072.0	1.0	YES	195.0		YES	75.0	NO 	NO 													2561.88	250.0	3704.364	26056.3	6199.75	605.0	4074.8	28661.93	1342.425	131.0	751.986	5289.429	168.3	2.7	124.95	2.71	0.0	0.0	0.0	0.0	0.15	Medium              	75.93	Pitch Roof-Insul.on Ceiling   	5.0		7545.183		9.27195	2957.712		9054.22	0.0	1	0.0	Grant Support	Nov 12 2013 12:00AM	1	Renewable Thermal	Solar space heating	523	408	1.1	0.203		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0														External walls	125.83	0.87	No	6	10		Extension walls	124.275	0.37	No	10.0	10.0								267040056	5.5623e-07	0.0025					
Co. Roscommon	Semi-detached house	1994	Existing       	G 	468.62	46.16	0.28	0.13	0.44	1.7	3.0	51.21	46.16	46.16	5.99	4.95	1	135.02	Manufactured Smokeless Fuel   	Manufactured Smokeless Fuel   	60.0	NO	0	127.47	1.0	0.2	100.0	60.0	1.0	28	28	2	2	0	1	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.3	2	3	1	NO 	0	NO 	NO 	0	NO 	NO 	0	209.662	YES	NO 	NO 	YES	None                          	None                          	95	0.0	0.6	1.3	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													427.087	169.0	7140.375	4578.0	1033.55	408.98	8568.45	5493.6	223.794	88.556	2799.027	1794.576	46.16	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	46.16	Pitch Roof-Insul.on Ceiling   	10.0	15260.125	809.5	2136.163	41.0529	331.086	873.691	1683.76	4443.22	0	0.0	Grant Support	Oct 25 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Front 330MM Cavity with 50mm a	18.74	0.28	No	8	5	300mm Filled Cavity	Back  330MM Cavity with 50mm a	17.01	0.28	No	8.0	5.0	300mm Filled Cavity	Gable end 330MM Cavity with 50	15.46	0.28	No	8.0	5.0								
Co. Cork	Top-floor apartment	1978	Existing       	B3	137.82	49.77	0.3	0.13	0.0	1.9	3.0	43.11	49.77	0.0	7.1	1.85	1	34.75	Heating Oil                   	Heating Oil                   	94.8	NO	0	42.92	1.0	0.1	30.0	94.8	1.0	15	1	2	2	1	0	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	3	1	1	YES	1	YES	YES	0	NO 	NO 	0	218.468	YES	NO 	NO 	NO 	None                          	None                          	100	0.0	0.6	0.9	Factory Insulated             	20	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													237.38	230.0	2599.927	1904.391	574.46	556.6	2859.92	2094.83	124.387	120.52	707.18	517.994	49.77	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	49.77	Pitch Roof-Insul.on Ceiling   	100.0		703.236		24.1109	259.494		773.56	0.0	0	0.0	Grant Support	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		43.11	0.3	No	6	4															47268002	0.001049684724	0.017443147236					
